,Category,Price,Revenue_Estimate
28,GAME,1.49,1.49
47,GAME,0.99,0.99
233,FAMILY,14.99,149.9
248,BUSINESS,2.49,24.900000000000002
291,LIFESTYLE,3.04,30.4
312,FAMILY,1.49,14.9
339,PERSONALIZATION,0.99,9.9
354,PHOTOGRAPHY,3.49,34.900000000000006
357,FAMILY,2.99,29.900000000000002
373,GAME,0.99,9.9
402,PRODUCTIVITY,0.99,9.9
421,PHOTOGRAPHY,4.99,49.900000000000006
436,FAMILY,0.99,9.9
479,TOOLS,2.99,29.900000000000002
486,TOOLS,0.99,9.9
496,PERSONALIZATION,0.99,9.9
504,FAMILY,29.99,299.9
526,FAMILY,19.99,199.89999999999998
534,FAMILY,4.99,49.900000000000006
540,FAMILY,4.99,49.900000000000006
570,GAME,1.99,99.5
571,TOOLS,2.99,149.5
598,PERSONALIZATION,0.99,49.5
645,PERSONALIZATION,0.99,49.5
657,PERSONALIZATION,0.99,49.5
659,TOOLS,1.76,88.0
663,FAMILY,2.99,149.5
692,FAMILY,2.99,149.5
702,BUSINESS,8.99,449.5
705,BOOKS_AND_REFERENCE,1.75,87.5
728,FAMILY,1.49,74.5
739,FAMILY,1.49,74.5
748,FAMILY,0.99,49.5
754,PERSONALIZATION,0.99,49.5
762,PERSONALIZATION,0.99,99.0
763,PERSONALIZATION,0.99,99.0
798,GAME,0.99,99.0
845,PERSONALIZATION,0.99,99.0
851,FAMILY,12.99,1299.0
862,FINANCE,4.99,499.0
871,SHOPPING,2.49,249.00000000000003
882,DATING,7.99,799.0
893,PERSONALIZATION,1.99,199.0
894,GAME,4.99,499.0
898,FAMILY,0.99,99.0
905,PRODUCTIVITY,4.99,499.0
909,FAMILY,3.99,399.0
912,MEDICAL,2.99,299.0
921,SPORTS,3.88,388.0
923,MEDICAL,2.99,299.0
953,PRODUCTIVITY,2.99,299.0
965,BUSINESS,12.99,1299.0
978,PARENTING,4.59,459.0
1021,LIFESTYLE,0.99,99.0
1023,FAMILY,9.99,999.0
1026,TOOLS,3.99,399.0
1037,MAPS_AND_NAVIGATION,9.99,999.0
1045,COMMUNICATION,1.49,149.0
1050,PERSONALIZATION,1.49,149.0
1055,COMMUNICATION,1.49,149.0
1063,FAMILY,1.49,149.0
1068,PERSONALIZATION,0.99,99.0
1088,FAMILY,2.99,299.0
1095,FAMILY,1.99,199.0
1099,FAMILY,4.99,499.0
1109,TOOLS,1.49,149.0
1116,FAMILY,0.99,99.0
1126,SPORTS,3.49,349.0
1136,FAMILY,1.99,199.0
1195,MEDICAL,12.99,1299.0
1203,FAMILY,0.99,99.0
1204,FAMILY,0.99,99.0
1205,GAME,0.99,99.0
1206,TOOLS,1.99,199.0
1259,FAMILY,4.99,499.0
1281,FAMILY,3.99,399.0
1287,PERSONALIZATION,0.99,99.0
1291,BOOKS_AND_REFERENCE,3.99,399.0
1295,GAME,14.0,1400.0
1300,PERSONALIZATION,1.49,149.0
1302,GAME,4.49,449.0
1317,GAME,1.99,199.0
1327,TOOLS,0.99,99.0
1328,MEDICAL,6.99,699.0
1333,TOOLS,5.99,599.0
1355,TOOLS,3.99,399.0
1373,PERSONALIZATION,2.49,249.00000000000003
1388,GAME,0.99,99.0
1397,COMMUNICATION,1.49,149.0
1407,MEDICAL,39.99,3999.0
1409,SPORTS,3.02,302.0
1428,PERSONALIZATION,1.49,149.0
1431,COMMUNICATION,1.49,149.0
1432,COMMUNICATION,0.99,99.0
1451,PERSONALIZATION,0.99,99.0
1468,TOOLS,4.99,499.0
1470,PERSONALIZATION,1.49,149.0
1472,PERSONALIZATION,0.99,99.0
1473,PRODUCTIVITY,6.49,649.0
1485,MEDICAL,5.99,2995.0
1490,FAMILY,2.99,1495.0
1493,TOOLS,3.99,1995.0
1494,TOOLS,0.99,495.0
1508,BUSINESS,17.99,8995.0
1509,COMMUNICATION,0.99,495.0
1512,FAMILY,1.99,995.0
1547,PERSONALIZATION,1.49,745.0
1551,PHOTOGRAPHY,1.49,745.0
1561,MEDICAL,3.99,1995.0
1566,PERSONALIZATION,1.49,745.0
1573,MEDICAL,2.99,1495.0
1585,COMMUNICATION,4.99,2495.0
1594,PRODUCTIVITY,8.99,4495.0
1597,BOOKS_AND_REFERENCE,0.99,495.0
1617,TOOLS,0.99,495.0
1618,WEATHER,1.99,995.0
1621,FAMILY,2.49,1245.0
1624,FAMILY,4.99,2495.0
1645,MEDICAL,0.99,495.0
1646,FAMILY,1.99,995.0
1658,TOOLS,1.99,995.0
1667,TOOLS,0.99,495.0
1681,SPORTS,2.99,1495.0
1683,GAME,4.49,2245.0
1697,MEDICAL,3.49,1745.0
1717,PERSONALIZATION,2.0,1000.0
1758,PERSONALIZATION,1.49,745.0
1773,NEWS_AND_MAGAZINES,2.99,1495.0
1786,COMMUNICATION,3.99,1995.0
1791,TOOLS,3.99,1995.0
1795,MEDICAL,15.99,7995.0
1796,FINANCE,3.99,1995.0
1797,FAMILY,2.99,1495.0
1802,PERSONALIZATION,1.49,745.0
1803,PERSONALIZATION,0.99,495.0
1812,MEDICAL,9.99,9990.0
1826,FAMILY,2.99,2990.0
1827,MEDICAL,4.99,4990.0
1828,MEDICAL,9.99,9990.0
1868,FAMILY,2.49,2490.0
1878,FAMILY,10.99,10990.0
1899,FAMILY,2.99,2990.0
1940,GAME,0.99,990.0
1944,PERSONALIZATION,1.99,1990.0
1950,TOOLS,1.99,1990.0
1953,PERSONALIZATION,0.99,990.0
1958,GAME,3.99,3990.0
1991,GAME,1.61,1610.0
1992,GAME,0.99,990.0
1993,FAMILY,1.99,1990.0
1996,FAMILY,2.49,2490.0
2000,PRODUCTIVITY,4.29,4290.0
2002,COMMUNICATION,0.99,990.0
2003,SPORTS,3.99,3990.0
2011,SPORTS,0.99,990.0
2029,FAMILY,2.99,2990.0
2048,MEDICAL,15.46,15460.0
2049,SPORTS,1.99,1990.0
2062,COMMUNICATION,2.99,2990.0
2063,LIFESTYLE,4.99,4990.0
2065,FAMILY,7.49,7490.0
2070,MEDICAL,3.99,3990.0
2072,MEDICAL,5.49,5490.0
2077,TOOLS,2.49,2490.0
2079,PRODUCTIVITY,2.99,2990.0
2087,FINANCE,1.99,1990.0
2116,HEALTH_AND_FITNESS,4.99,4990.0
2117,MEDICAL,4.99,4990.0
2119,PHOTOGRAPHY,19.99,19990.0
2137,FAMILY,2.99,2990.0
2154,FAMILY,1.99,1990.0
2156,PHOTOGRAPHY,9.99,9990.0
2157,SPORTS,0.99,990.0
2159,ART_AND_DESIGN,1.99,1990.0
2161,FAMILY,2.99,2990.0
2171,PERSONALIZATION,1.7,1700.0
2176,PRODUCTIVITY,0.99,990.0
2205,HEALTH_AND_FITNESS,7.99,7990.0
2207,MEDICAL,29.99,29990.0
2212,TOOLS,2.99,2990.0
2213,PRODUCTIVITY,7.99,7990.0
2220,GAME,0.99,990.0
2254,TOOLS,1.49,1490.0
2274,MEDICAL,2.99,2990.0
2276,LIFESTYLE,4.99,4990.0
2277,GAME,2.49,2490.0
2281,MEDICAL,79.99,79990.0
2283,TRAVEL_AND_LOCAL,2.56,2560.0
2285,BUSINESS,3.99,3990.0
2293,MEDICAL,19.99,19990.0
2303,COMMUNICATION,2.49,2490.0
2313,PERSONALIZATION,0.99,990.0
2320,GAME,0.99,990.0
2348,TRAVEL_AND_LOCAL,8.49,8490.0
2352,GAME,6.99,6990.0
2354,SPORTS,2.99,2990.0
2369,MEDICAL,0.99,990.0
2384,FAMILY,2.99,2990.0
2388,MEDICAL,1.5,1500.0
2397,TOOLS,4.99,4990.0
2414,BOOKS_AND_REFERENCE,1.99,1990.0
2418,FAMILY,4.84,4840.0
2425,MEDICAL,14.99,14990.0
2463,MEDICAL,29.99,29990.0
2465,GAME,4.99,4990.0
2469,BUSINESS,4.99,4990.0
2472,TOOLS,3.99,3990.0
2473,FAMILY,19.4,19400.0
2481,MEDICAL,33.99,33990.0
2483,PERSONALIZATION,1.49,1490.0
2492,PHOTOGRAPHY,2.99,2990.0
2493,SPORTS,2.99,2990.0
2499,MAPS_AND_NAVIGATION,0.99,990.0
2502,PERSONALIZATION,0.99,990.0
2505,GAME,1.99,1990.0
2514,BOOKS_AND_REFERENCE,3.08,3080.0
2517,EDUCATION,5.99,5990.0
2519,FAMILY,3.99,3990.0
2527,FAMILY,2.99,2990.0
2530,SOCIAL,0.99,990.0
2534,MEDICAL,1.99,1990.0
2546,TOOLS,5.99,5990.0
2552,SPORTS,2.49,2490.0
2560,FAMILY,0.99,990.0
2582,FAMILY,0.99,990.0
2596,TOOLS,0.99,990.0
2598,WEATHER,6.99,6990.0
2599,VIDEO_PLAYERS,0.99,990.0
2603,MEDICAL,16.99,16990.0
2605,TOOLS,0.99,990.0
2612,GAME,3.49,3490.0
2620,PERSONALIZATION,1.7,1700.0
2622,MEDICAL,3.99,3990.0
2629,LIFESTYLE,37.99,37990.0
2630,MEDICAL,9.99,9990.0
2637,DATING,6.99,6990.0
2644,HEALTH_AND_FITNESS,1.99,1990.0
2645,MEDICAL,3.99,3990.0
2647,FAMILY,10.0,10000.0
2648,PRODUCTIVITY,1.29,1290.0
2649,EDUCATION,3.99,3990.0
2651,SPORTS,4.49,4490.0
2653,FAMILY,2.99,2990.0
2656,PERSONALIZATION,2.49,2490.0
2657,PERSONALIZATION,0.99,990.0
2658,FAMILY,4.99,4990.0
2662,GAME,0.99,990.0
2664,FINANCE,3.99,3990.0
2666,GAME,1.99,1990.0
2669,MEDICAL,7.49,7490.0
2684,FAMILY,0.99,990.0
2685,MEDICAL,10.99,10990.0
2689,MEDICAL,5.99,5990.0
2693,TOOLS,0.99,990.0
2694,TOOLS,1.49,1490.0
2697,TOOLS,14.99,14990.0
2699,TOOLS,4.99,4990.0
2700,PERSONALIZATION,4.99,4990.0
2702,PERSONALIZATION,0.99,990.0
2704,PERSONALIZATION,4.99,4990.0
2706,PERSONALIZATION,3.99,3990.0
2714,FAMILY,4.99,24950.0
2718,GAME,0.99,4950.0
2740,FAMILY,4.49,22450.0
2760,FAMILY,5.99,29950.0
2767,MEDICAL,3.99,19950.0
2768,SPORTS,1.99,9950.0
2769,LIFESTYLE,3.99,19950.0
2781,FAMILY,4.99,24950.0
2787,FAMILY,1.99,9950.0
2802,TRAVEL_AND_LOCAL,3.99,19950.0
2816,PERSONALIZATION,0.99,4950.0
2824,BOOKS_AND_REFERENCE,2.99,14950.000000000002
2828,FAMILY,1.49,7450.0
2831,MEDICAL,2.49,12450.000000000002
2832,MEDICAL,3.99,19950.0
2833,MEDICAL,3.99,19950.0
2834,MEDICAL,3.99,19950.0
2838,PRODUCTIVITY,3.99,19950.0
2841,SOCIAL,0.99,4950.0
2849,SPORTS,1.99,9950.0
2857,TRAVEL_AND_LOCAL,2.99,14950.000000000002
2862,TOOLS,0.99,4950.0
2869,FAMILY,2.99,14950.000000000002
2875,NEWS_AND_MAGAZINES,0.99,4950.0
2891,ART_AND_DESIGN,1.99,9950.0
2897,GAME,6.99,34950.0
2914,PERSONALIZATION,1.99,9950.0
2918,LIFESTYLE,0.99,4950.0
2938,PERSONALIZATION,1.49,7450.0
2951,LIFESTYLE,2.99,14950.000000000002
2961,MEDICAL,5.99,29950.0
2964,FAMILY,2.99,14950.000000000002
2989,FAMILY,2.99,14950.000000000002
2995,BOOKS_AND_REFERENCE,4.6,23000.0
2996,LIFESTYLE,1.99,9950.0
2998,MEDICAL,14.99,74950.0
3016,MEDICAL,0.99,4950.0
3017,TOOLS,0.99,4950.0
3021,SPORTS,0.99,4950.0
3031,MEDICAL,2.99,14950.000000000002
3043,PHOTOGRAPHY,2.99,14950.000000000002
3065,GAME,1.99,9950.0
3066,SPORTS,2.99,14950.000000000002
3067,FAMILY,4.99,24950.0
3071,SPORTS,1.0,5000.0
3072,TOOLS,14.99,74950.0
3079,LIFESTYLE,2.49,12450.000000000002
3107,FAMILY,0.99,4950.0
3109,COMMUNICATION,4.99,24950.0
3128,COMMUNICATION,0.99,4950.0
3137,COMMUNICATION,1.49,7450.0
3142,FAMILY,3.99,19950.0
3147,FAMILY,2.99,14950.000000000002
3162,TOOLS,4.99,24950.0
3166,MEDICAL,3.99,19950.0
3175,TOOLS,4.99,24950.0
3176,TOOLS,4.99,24950.0
3177,TOOLS,4.99,24950.0
3178,TOOLS,4.99,24950.0
3179,TOOLS,4.99,24950.0
3181,TOOLS,1.0,5000.0
3182,PERSONALIZATION,6.99,34950.0
3209,FAMILY,2.99,29900.000000000004
3240,MEDICAL,9.99,99900.0
3241,MEDICAL,24.99,249899.99999999997
3254,MEDICAL,2.99,29900.000000000004
3272,HEALTH_AND_FITNESS,3.99,39900.0
3293,GAME,0.99,9900.0
3296,FAMILY,3.99,39900.0
3315,FAMILY,3.99,39900.0
3316,PHOTOGRAPHY,1.99,19900.0
3321,PERSONALIZATION,0.99,9900.0
3328,LIFESTYLE,7.99,79900.0
3329,GAME,4.99,49900.0
3331,FAMILY,2.99,29900.000000000004
3332,MEDICAL,10.0,100000.0
3347,FAMILY,2.99,29900.000000000004
3355,BUSINESS,2.99,29900.000000000004
3368,GAME,2.99,29900.000000000004
3375,FAMILY,14.99,149900.0
3389,MEDICAL,7.99,79900.0
3394,FAMILY,12.99,129900.0
3413,MAPS_AND_NAVIGATION,0.99,9900.0
3434,BOOKS_AND_REFERENCE,4.49,44900.0
3439,GAME,16.99,169899.99999999997
3467,PERSONALIZATION,0.99,9900.0
3469,PERSONALIZATION,0.99,9900.0
3474,COMMUNICATION,4.99,49900.0
3476,DATING,3.99,39900.0
3481,FOOD_AND_DRINK,3.49,34900.0
3483,LIFESTYLE,2.49,24900.000000000004
3486,FAMILY,2.99,29900.000000000004
3490,FAMILY,1.49,14900.0
3491,MEDICAL,6.99,69900.0
3498,TRAVEL_AND_LOCAL,1.99,19900.0
3499,TOOLS,2.5,25000.0
3502,TOOLS,3.9,39000.0
3505,TOOLS,2.95,29500.0
3506,PERSONALIZATION,0.99,9900.0
3509,VIDEO_PLAYERS,1.49,14900.0
3510,VIDEO_PLAYERS,1.99,19900.0
3520,GAME,7.99,79900.0
3521,FAMILY,2.99,29900.000000000004
3523,FAMILY,2.99,29900.000000000004
3548,FAMILY,4.99,49900.0
3557,FAMILY,1.99,19900.0
3560,PERSONALIZATION,0.99,9900.0
3561,WEATHER,2.99,29900.000000000004
3577,TOOLS,2.99,29900.000000000004
3584,PERSONALIZATION,1.99,19900.0
3587,TOOLS,1.97,19700.0
3598,ART_AND_DESIGN,1.99,19900.0
3604,PERSONALIZATION,9.99,99900.0
3629,PERSONALIZATION,2.99,29900.000000000004
3639,MEDICAL,5.49,54900.0
3642,TOOLS,3.28,32800.0
3649,FAMILY,0.99,9900.0
3664,FINANCE,2.99,29900.000000000004
3666,TOOLS,4.99,49900.0
3699,GAME,2.99,29900.000000000004
3701,FAMILY,14.99,149900.0
3747,FAMILY,2.99,29900.000000000004
3758,TOOLS,2.99,29900.000000000004
3759,TOOLS,2.99,29900.000000000004
3778,GAME,17.99,179899.99999999997
3793,TOOLS,0.99,9900.0
3798,HEALTH_AND_FITNESS,6.99,69900.0
3799,GAME,4.99,49900.0
3821,MEDICAL,3.99,39900.0
3854,COMMUNICATION,2.99,29900.000000000004
3869,FAMILY,2.99,29900.000000000004
3896,GAME,4.99,49900.0
3903,FAMILY,1.2,12000.0
3904,MEDICAL,2.99,29900.000000000004
3952,PERSONALIZATION,1.99,19900.0
3962,FAMILY,4.99,49900.0
3965,SPORTS,4.99,49900.0
3974,FAMILY,0.99,9900.0
3977,TRAVEL_AND_LOCAL,5.99,59900.0
3995,TOOLS,2.59,25900.0
4003,SHOPPING,2.99,29900.000000000004
4004,TOOLS,1.99,19900.0
4022,FAMILY,3.99,39900.0
4025,FAMILY,4.99,49900.0
4049,FAMILY,3.99,39900.0
4068,FAMILY,2.99,29900.000000000004
4074,FAMILY,4.99,49900.0
4075,FAMILY,2.99,29900.000000000004
4078,GAME,4.99,49900.0
4083,MAPS_AND_NAVIGATION,2.99,29900.000000000004
4084,PERSONALIZATION,0.99,9900.0
4085,GAME,3.99,39900.0
4086,FAMILY,2.49,24900.000000000004
4088,FAMILY,0.99,9900.0
4090,FINANCE,18.99,189899.99999999997
4094,TOOLS,1.99,19900.0
4095,TOOLS,1.99,19900.0
4108,FAMILY,1.59,15900.0
4110,FAMILY,3.99,39900.0
4132,MEDICAL,11.99,119900.0
4141,GAME,1.99,19900.0
4142,FAMILY,1.99,19900.0
4157,COMMUNICATION,2.99,29900.000000000004
4158,COMMUNICATION,0.99,9900.0
4159,FAMILY,9.99,99900.0
4207,FAMILY,3.99,39900.0
4212,MEDICAL,0.99,9900.0
4214,MEDICAL,2.99,29900.000000000004
4215,MEDICAL,1.99,19900.0
4224,PHOTOGRAPHY,4.99,49900.0
4230,TOOLS,1.99,19900.0
4231,TOOLS,2.99,29900.000000000004
4237,PERSONALIZATION,0.99,9900.0
4238,PERSONALIZATION,1.99,19900.0
4253,FAMILY,0.99,49500.0
4260,GAME,0.99,49500.0
4264,SPORTS,29.99,1499500.0
4284,MEDICAL,2.99,149500.0
4313,GAME,1.99,99500.0
4314,FAMILY,2.99,149500.0
4366,AUTO_AND_VEHICLES,1.99,99500.0
4369,HEALTH_AND_FITNESS,1.99,99500.0
4374,FAMILY,2.99,149500.0
4381,FAMILY,4.99,249500.0
4382,MEDICAL,3.99,199500.0
4385,PHOTOGRAPHY,1.99,99500.0
4386,SPORTS,3.99,199500.0
4389,TOOLS,2.99,149500.0
4395,VIDEO_PLAYERS,5.99,299500.0
4470,FAMILY,19.99,999499.9999999999
4480,FAMILY,9.99,499500.0
4501,PRODUCTIVITY,2.99,149500.0
4512,PERSONALIZATION,2.49,124500.00000000001
4513,PRODUCTIVITY,1.49,74500.0
4515,PERSONALIZATION,0.99,49500.0
4525,FAMILY,2.99,149500.0
4526,FAMILY,2.99,149500.0
4533,GAME,1.99,99500.0
4535,MEDICAL,11.99,599500.0
4564,FAMILY,4.99,249500.0
4573,FAMILY,3.99,199500.0
4588,FOOD_AND_DRINK,4.99,249500.0
4619,FAMILY,2.99,149500.0
4634,FAMILY,2.99,149500.0
4641,FAMILY,4.77,238499.99999999997
4645,TOOLS,2.99,149500.0
4652,HEALTH_AND_FITNESS,2.99,149500.0
4654,PARENTING,4.99,249500.0
4659,FAMILY,4.99,249500.0
4669,GAME,4.99,249500.0
4672,HEALTH_AND_FITNESS,1.99,99500.0
4681,TRAVEL_AND_LOCAL,2.49,124500.00000000001
4705,GAME,4.99,249500.0
4756,WEATHER,3.99,399000.0
4770,FAMILY,3.99,399000.0
4772,MEDICAL,24.99,2499000.0
4794,GAME,4.99,499000.0
4827,GAME,0.99,99000.0
4834,MEDICAL,9.0,900000.0
4840,PERSONALIZATION,0.99,99000.0
4850,FAMILY,2.99,299000.0
4862,FAMILY,2.99,299000.0
4863,FAMILY,2.99,299000.0
4865,FAMILY,9.99,999000.0
4883,GAME,2.99,299000.0
4901,PHOTOGRAPHY,1.49,149000.0
4912,FAMILY,14.99,1499000.0
4924,BUSINESS,4.99,499000.0
4939,FAMILY,7.99,799000.0
4957,GAME,1.99,199000.0
4958,FAMILY,0.99,99000.0
4975,FAMILY,0.99,99000.0
5000,WEATHER,4.49,449000.0
5005,EDUCATION,3.99,399000.0
5024,COMMUNICATION,3.99,399000.0
5038,ENTERTAINMENT,4.99,499000.0
5046,HEALTH_AND_FITNESS,2.99,299000.0
5048,HEALTH_AND_FITNESS,2.99,299000.0
5062,GAME,2.99,299000.0
5063,GAME,2.99,299000.0
5067,FAMILY,3.99,399000.0
5069,FAMILY,4.99,499000.0
5081,FAMILY,4.99,499000.0
5091,PHOTOGRAPHY,3.95,395000.0
5099,SPORTS,8.99,899000.0
5101,TRAVEL_AND_LOCAL,8.99,899000.0
5104,TOOLS,2.49,249000.00000000003
5105,TOOLS,3.99,399000.0
5106,PERSONALIZATION,4.49,449000.0
5108,PERSONALIZATION,1.99,199000.0
5109,PRODUCTIVITY,5.99,599000.0
5111,PRODUCTIVITY,4.99,499000.0
5132,MAPS_AND_NAVIGATION,11.99,1199000.0
5147,GAME,4.99,499000.0
5148,GAME,9.99,999000.0
5158,PRODUCTIVITY,4.49,449000.0
5171,TOOLS,3.49,349000.0
5195,WEATHER,2.99,299000.0
5199,FAMILY,4.99,499000.0
5203,GAME,4.99,499000.0
5279,FAMILY,4.99,499000.0
5288,GAME,1.99,199000.0
5292,TOOLS,4.49,449000.0
5333,GAME,3.99,399000.0
5378,FAMILY,2.99,299000.0
5389,FAMILY,13.99,1399000.0
5402,HEALTH_AND_FITNESS,3.49,349000.0
5438,FAMILY,9.99,999000.0
5448,GAME,4.99,499000.0
5477,FAMILY,2.99,299000.0
5511,PERSONALIZATION,2.99,299000.0
5542,BUSINESS,4.99,499000.0
5576,FINANCE,2.99,299000.0
5586,FAMILY,2.99,299000.0
5598,PHOTOGRAPHY,2.99,299000.0
5600,GAME,2.99,299000.0
5613,FAMILY,2.99,299000.0
5633,FAMILY,9.99,999000.0
5661,FAMILY,0.99,99000.0
5662,FAMILY,1.99,199000.0
5681,GAME,2.99,299000.0
5689,FAMILY,1.49,149000.0
5710,GAME,6.99,699000.0
5751,COMMUNICATION,2.9,290000.0
5753,FAMILY,2.99,299000.0
5790,ENTERTAINMENT,2.99,299000.0
5798,COMMUNICATION,3.99,399000.0
5799,GAME,2.99,299000.0
5808,GAME,4.99,499000.0
5837,GAME,2.99,299000.0
5848,GAME,2.99,299000.0
5853,GAME,1.99,199000.0
5859,GAME,5.99,599000.0
5887,PERSONALIZATION,4.99,499000.0
5908,FAMILY,2.99,1495000.0
5928,PERSONALIZATION,2.49,1245000.0
5997,FAMILY,0.99,495000.0
6023,EDUCATION,3.99,1995000.0
6082,WEATHER,5.99,2995000.0
6139,PHOTOGRAPHY,2.99,1495000.0
6221,PRODUCTIVITY,2.99,1495000.0
6364,GAME,1.99,995000.0
6388,FAMILY,2.99,1495000.0
6406,FAMILY,4.99,2495000.0
6429,PRODUCTIVITY,1.99,995000.0
6496,PERSONALIZATION,2.49,2490000.0
6548,GAME,0.99,990000.0
6594,GAME,4.99,4990000.0
6746,FAMILY,2.99,2990000.0
6856,COMMUNICATION,2.99,2990000.0
7044,TOOLS,2.99,2990000.0
7151,GAME,6.99,6990000.0
7161,PERSONALIZATION,0.99,990000.0
7477,PHOTOGRAPHY,5.99,5990000.0
7563,SPORTS,1.99,1990000.0
7633,GAME,2.99,2990000.0
7691,FAMILY,0.99,990000.0
7776,GAME,0.99,990000.0
7805,GAME,0.99,990000.0
7917,FAMILY,0.99,990000.0
7928,GAME,0.99,990000.0
7954,FAMILY,2.99,2990000.0
7957,GAME,0.99,990000.0
7977,LIFESTYLE,5.99,5990000.0
7988,FAMILY,1.99,1990000.0
8825,GAME,0.99,9900000.0
9220,FAMILY,6.99,69900000.0
